CORR,DESCRIPCION PROFESION/OFICIO
143,LIC.(A) EN EDUC. ESPECIAL
144,MS. EN SALUD PUBLICA
145,DR.(A) EN CIRUGIA DENTAL
146,DR.(A) EN MEDICINA
147,TECNICO EN EQUIPO DE RAYOS X
148,DOC.(A) EN QUIMICA Y FARMACIA
149,NUTRICIONISTA
150,PEDIATRA
151,TEC. EN LABORATORIO QUIMICO
152,PROFESIONAL DE TRABAJO SOCIAL
153,TECNOLOGO(A) MATERNO INFANTIL
154,TEC. INSTRUMENTAL MEDICO QUIRURJICO
155,KINESIOLOGO
156,OPTOMETRISTA
157,OFTALMOLOGO(A)
158,LIC.(A) EN RADIOLOGIA E IMAGENES
159,ODONTOLOGO(A)
160,CITOTECNOLOGO
161,LIC.(A) EN FISIOTERAPIA Y TERAP. OCUPAC.
162,LICENCIATURA EN SALUD MATERNO INFANTIL
163,TEC. EN RADIOLOGIA
164,TECNOLOGO(A) EN  TERAPIA OCUPACIONAL
165,PSICOLOGO(A)
166,LIC. EN DIETOLOGIA Y NUTRICION
167,MEDICO CIRUJANO
168,DOCTOR(A) EN PSICOLOGIA
169,FISIOTERAPISTA
170,TECNOLOGO MEDICO ANESTESISTA
171,LIC.(A EN ANESTESIOLOGIA E INHALOTERAPIA
172,TECNICO EN ESTERILIZACION
173,TEC. PRACTICO EN AUDIOMETRIA
174,MEDICO ANESTESIOLOGO
175,MEDICO NATURISTA
176,REGENTE DE FARMACIA
177,TEC. EN ELECTROCARDIOGRAMA
178,ESTOMATOLOGO
179,TECNOLOGO MEDICO
180,ING. BIOQUIMICO
181,TERAPISTA
182,ANESTESISTA
183,LIC. EN NUTRICION Y DIETETICA
184,TECNICO EN ENFERMERIA E HIGIENE DENTAL
185,DOCTOR (A) EN MICROBIOLOGIA
186,LABORATORISTA CLINICO
187,TEC. EN ELECTROCARDIOGRAFIA
188,MAESTRIA EN PSICOLOGIA CLINICA
189,LIC. EN OPTOMETRIA
190,MEDICO GINECO-OBSTETRICIA
191,DOCTOR(A) EN AGRICULTURA
192,TEC. AUDIOMETRISTA
193,TECNOLOGO(A) EN PUERICULTURA
194,TEC. EN ANATOMIA PATOLOGICA
195,TEC. EN CARDIOLOGIA
196,INSEMINADOR ARTIFICIAL
197,TECNOLOGO(A) MEDICO EN LAB. CLINICO
198,DR.(A) EN PSICOLOGIA CLINICA
199,ENFERMERA DENTAL
200,DERMATOLOGO
201,DR.(A) CON POSTGDO EN MEDICINA BIOLOGICA
202,PARASITOLOGO MEDICO
203,MEDICO IRIDOLOGO
204,LIC. EN BIOLOGIA Y QUIMICA
205,LIC. EN ADMINISTRACION DE SALUD
206,TEC. EN SALUD - HIGIENE DENTAL
207,TEC. EN PSICOLOGIA
208,TECNOLOGO MEDICO EN FISIOTERAPIA
209,MEDICO RADIOLOGO
210,UROLOGO
211,TECNICO EN RAYOS X
212,TECNOLOGO(A) EN SALUD MATERNO INFANTIL
213,DR(A). EN MEDICINA Y CIRUGIA
214,DOCTORADO EN AUDIOLOGIA
215,LIC.(A) EN PSICOLOGIA CLINICA
216,MEDICO GASTROENTEROLOGO (A)
217,NEUROCIRUJANO
218,DR.(A) EN CIRUGIA DENT/ESP. ODONT PEDIAT
219,MS. EN ADMON. DE SERVICIOS DE SALUD
220,TECNOLOGO(A) EN RADIOLOGIA E IMAGENES
221,LIC(A). EN EDUC. FUN. BIOLOGIA Y QUIMICA
222,MAESTRA EN PSICOLOGIA ORGANIZACIONAL
223,LIC(A).EN EDUC.ESP.EN BIOLOGIA Y QUIMICA
224,TECNOLOGO EN LABORATORIO CLINICO
225,MAESTRO EN PSICOLOGIA ORGANIZACIONAL
226,MAESTRO (A) EN GESTION AMBIENTAL
227,MAESTRA EN DOCENCIA UNIVERSITARIA
228,TECNICO EN QUIMICA INDUSTRIAL
229,LIC. EN TEC. DE LA SALUD: TRAUMATOLOGIA
230,CIENCIAS
231,LIC.(A) EN BIOLOGIA
232,LIC.(A) EN BIOLOGIA MARINA
233,LIC.(A) EN ESTADISTICA
234,LIC.(A) EN FISICA
235,LIC.(A) EN MATEMATICAS
236,LIC.(A) EN QUIMICA
237,LIC.(A) EN QUIMICA Y FARMACIA
238,LIC.(A) EN GEOQUIMICA
239,ING.(A) QUIMICO(A)
240,MS. EN QUIMICA
241,LIC.(A) EN QUIMICA AGRICOLA
242,ESTADISTICO
243,LIC. EN QUIMICA BIOLOGICA
244,BIOLOGO
245,ING. QUIMICO AGRICOLA
246,PARAPSICOLOGIA
247,METEOROLOGO
248,QUIMICO FARMACEUTICO
249,LICENCIADO EN METEREOLOGIA
250,LIC.(A) EN MATEMATICA
251,LIC.(A) EN GEOFISICA
252,MEDICO ESPECIALISTA
253,ORTOPEDA Y TRAUMATOLOGIA
254,ING. FISICO
255,LIC.(A) EN CIENCIAS
256,DR(A) EN QUIMICA Y FARMACIA
257,LIC.(A)EN EDUC.PARA LA ENS.DE LA QUIMICA
258,GEOQUIMICO
259,QUIMICO MINERO
260,DIETISTA
261,TEC. EN ARSENAL QUIRURGICO
262,DOCTORADO EN DEMOGRAFIA
263,DR.(A) EN QUIMICA INDUSTRIAL
264,LABORATORISTA
265,QUIMICO TEXTIL
266,DR.(A) EN SALUD PUBLICA
267,IRIDOLOGA
268,TEC. EN MANTTO. Y REP. DE EQ. BIOMEDICO
269,DR. EN QUIMICA INDUSTRIAL Y FARMACIA
270,LIC.(A) CONTADOR PUBLICO Y AUDITORIA
271,OTORRINOLARINGOLOGO
272,DR.(A) EN QUIMICA
273,MEDICO
274,ING. OCEANICO
275,OCEANOLOGO
276,LIC. EN CIENCIAS QUIMICAS
277,PSIQUIATRA
278,AUXILIAR EN ODONTOLOGIA
279,FISICO
280,DR. EN METALURGIA Y CC. DE LOS MAT.
281,PALEONTOLOGO(A)
282,METEOROLOGO(A)
283,LIC.(A) EN QUIMICA Y FARMACIA BIOLOGIA
284,TEC. EN ING. BIOMEDICA
285,LIC. EN ORTESIS Y PROTESIS
286,AGRICULT/GANAD/PISCICULT/MEDIO AMB
287,TEC. EN AGRONOMIA
288,TEC. EN CONSERVACION DEL MEDIO AMBIENTE
289,TEC. EN VETERINARIA
290,TEC. EN INGENIERIA AGRICOLA
291,TEC. EN ZOOLOGIA
292,LIC.(A) EN VETERINARIA
293,ING.(A) AGRONOMO
294,ING.(A) EN AGROECOLOGIA
295,ING.(A) EN ENTOMOLOGIA
296,ING.(A) AGROINDUSTRIAL
297,MS. EN MEDIO AMB. Y REC. NAT
298,LIC.(A) EN GEOGRAFIA
299,TEC. EN METEREOLOGIA
300,ING.(A) EN PESCA
301,AGRONOMO
302,MEDICO VETERINARIO
303,TEC. EN PRODUCCION AGROPECUARIA
304,TEC. AGRICOLA
305,TEC. GEOGRAFO
306,MEDICO VETERINARIO Y ZOOTECNISTA
307,TEC. METEOROLOGO
308,MAESTRIA EN  CIENCIAS AGROPECUARIAS
309,TEC. ADMINISTRADOR AGROPECUARIO
310,TEC. EN ING. AGROINDUSTRIAL
311,TEC. COMPUTACION
312,ECOLOGO
313,ESPECIALISTA FORESTAL
314,ZOOTECNISTA
315,TEC. EN INGENIERIA AGRONOMICA
316,LIC(A) EN TECNOLOGIA AGROINDUSTRIAL
317,SOCIOLOGO(A) SANITARISTA
318,MS ADMON. Y COMERC. AGROPECUARIA
319,VETERINARIO
320,ECONOMISTA AMBIENTAL
321,INGENIERO AGROECOLOGO(A)
322,LIC(A) ZOOTECNISTA
323,TEC. AGROPECUARIO
324,MASTER EN CIENCIAS AGRICOLAS
325,AUXILIAR DE VETERINARIO
326,TEC. EN TECNOLGIA  Y MEDIO AMBIENTE
327,DASONOMO
328,ING. AGRONOMO FITOTECNISTA
329,AGROPECUARIO(A)
330,HORTICULTOR
331,TEC. AVICOLA
332,TECNICO FORESTAL
333,METEOROLOGO
334,PERITO AGRONOMO
335,TEC. MEDIO AGROPECUARIO
336,ING.(A) AGRICOLA
337,LIC.(A) EN ECOLOGIA
338,AGRONOMO VETERINARIO
339,TEC. EN REDES Y TECNOLOGIAS INFORMATICAS
340,TEC. AGRONOMO
341,CONSULTOR AMBIENTAL Y RURAL
342,FRUTICULTOR
343,ING.AGRONOMO GENERALISTA
344,TEC EN MEDICINA VETERINARIA Y ZOOTECNIA
345,ING. EN DES. SOCIOECONOMICO Y AMBIENTE
346,LIC.(A) EN MEDIC VETERINARIA Y ZOOTECNIA
347,MAESTRIA EN AGRICULTURA SOSTENIBLE
348,TEC.USO Y MANEJO DE PLANTAS MEDICINALES
349,LIC.(A) EN MEDICINA VETERINARIA
350,MS. SEG Y GESTION DE RIESGOS INFORM.
351,ESTUDIANTE
352,DERECHO
353,LIC.(A) EN CIENCIAS JURIDICAS
354,LIC.(A) EN RELACIONES INTERNACIONALES
355,DR.(A) JURISPRUDENCIA Y C.C. SOCIALES
356,ABOGADO(A)
357,ABOGADO(A) Y NOTARIO(A)
358,FISCAL
359,FISCAL AUXILIAR
360,DEFENSOR PUBLICO
361,LIC. EN DERECHO CANONICO
