CORR,DESCRIPCION PROFESION/OFICIO
643,MAESTRO(A) EN EDUCACION PRIMARIA
644,PROF.(A) DE EDUC. PRIMARIA
645,LIC(A). EN ESTUDIOS LATINOAMERICANOS
646,MAESTRIA EN DESARROLLO LOCAL
647,PROF(A). CC. SOC. EDUC. BASICA Y MEDIA
648,MS EN DIDACTICA Y FORMAC DEL PROFESORADO
649,LIC(A) CC. DE EDUC CON ESP EN PARVULARIA
650,PROF. EDUC. MEDIA TEC. ENSEÑ. MEC. AUTO
651,MS PROFESIONALIZACION DE LA DOCENCIA SUP
652,PROF(A) CC NATURALES T.C.B.Y EDUC. MEDIA
653,PROF(A). CC. SOC. T.C.B.Y EDUC. MEDIA
654,PROF(A) EN EDUC MED CAMPO ELECTROTECNIA
655,LIC(A) CC. DE EDUC CON ESP EN CC. NAT.
656,LIC(A) CC DE EDUC ESP EN LENG. Y LITERAT
657,PROFESOR DE ESTUDIOS SOCIALES
658,MAESTRIA EN METODOS Y TEC E INVESTIG SOC
659,MS. EN DER. HUM. Y EDUC. PARA LA PAZ
660,LIC(A) CC DE EDUC CON ESP EN MATEMATICAS
661,PROF(A) EN EDUC MED ENSEÑANZA DE CC. SOC
662,LIC(A) CC EDUC CON ESP EN EDUC ESPECIAL
663,MASTER EN TECNOLOGIA EDUCATIVA
664,MS. ADMON. EMPRESAS Y CONSULTORIA EMPRES
665,LIC(A) CC EDUC ESP EDUC FIS DEP Y RECREA
666,PROF.(A) EN EDUC. ESP. PARA NIVEL BASICO
667,MAESTRA EN COMUNICACION ORGANIZACIONAL
668,PROF.(A) DE FILOSOFIA Y LETRAS
669,PROF(A).INGLES 3° CICLO EDU BAS Y MED
670,PROF. EDUC. MEDIA TEC ENSEÑ. ELECTRONICA
671,PROF(A) EN MAT 3° CICLO EDUC BAS Y MEDIA
672,LIC(A) EN LENG MODER ESP FRANCES/INGLES
673,PROF. EN EDUC. MED. P. EL IDIOMA FRANCES
674,MS. EN ASESORIA EDUCATIVA
675,LIC(A) CC ESP LENG/MAT 1°Y 2º ED BAS
676,LIC(A) CC DE EDUC ESP 1°Y 2º C. EDU BAS.
677,PROF(A) ENSEÑANZA EN EDUC. MEDIA CC EDUC
678,MAESTRO EN DOCENCIA UNIVERSITARIA
679,MAESTRIA EN ADMON. DE LA EDUCACION
680,MAESTRIA EN ADMON. DE NEGOCIOS
681,PROF(A) EN EDUC MED ENSEÑ. DE LA MAT.
682,MAESTRIA EN COMUNICACION
683,DR.(A) EN FILOSOFIA IBEROAMERICANA
684,PROF.(A) DE EDUC MEDIA EN EL CAMPO CCIAL
685,PROF. EDUC. MED. ENSEÑANZA DE LAS LETRAS
686,MS. EN NUEVAS TECNOLOGIAS DE LA COMUNIC
687,MAESTRIA EN ADMON FINANCIERA
688,MAGISTER EN GESTION Y POLITICAS PUBLICAS
689,MAESTRO(A) EN LIDERAZGO GERENCIAL EDUC.
690,MAESTRA(O) EN DIRECCION DE EMPRESAS
691,PROF.(A) LENG Y LIT PARA 3° C EDU B Y ME
692,PROF EN ED MED TEC EN LA ESP DE ING ELEC
693,PROF(A) EN EDU MED TEC ENS ELECTROTECNIA
694,LIC.(A) CC EDUC ESP EN EDUC FISICA Y DEP
695,CIENCIAS SOCIALES
696,TEC. EN COMUNICACIONES
697,TEC. EN PERIODISMO
698,TEC. EN RELACIONES PUBLICAS
699,TEC. EN PUBLICIDAD
700,LIC.(A) EN CIENCIAS DE LA COMUNICACIÓN
701,LIC.(A) EN CIENCIAS POLITICAS
702,LIC.(A) EN COMUNICACIONES
703,LIC.(A) EN PUBLICIDAD
704,LIC.(A) EN RELACIONES PUBLICAS
705,LIC.(A) EN SOCIOLOGIA
706,LIC.(A) EN PERIODISMO
707,MS. EN CIENCIAS POLITICAS
708,LIC(A) EN COMUNICACIÓN Y PERIODISMO
709,LIC. EN REL. PUBLICAS Y COMUNICACIONES
710,TEC. EN TELECOMUNICACIONES
711,LIC. EN RELACIONES PUBLICAS Y PUBLICIDAD
712,LIC. EN COMUNICACION SOCIAL
713,LIC. EN  CIENCIAS SOCIALES
714,BIBLIOTECOLOGO
715,M.SC EN RELACIONES INTERNACIONALES
716,LIC. EN CIENCIAS ACTUARIALES
717,DIRECTOR(A) DE CINE Y TV.
718,CORRESPONSAL
719,TEC. EN RELACIONES PUB. Y COMUNICACIONES
720,ASESOR EN COMUNICACIONES
721,TECNICO UNIVERSITARIO EN PERIODISMO
722,TEC. EN RELACIONES PUBLICAS Y PUBLICIDAD
723,LIC.CIENCIAS DE EDUC.ESP.CIEN.SOCIALES
724,MILITAR Y SEGURIDAD
725,OFICIAL MILITAR
726,MILITAR
727,LIC. EN CIENCIAS Y ARTES MILITARES
728,OFICIAL DE POLICIA
729,OFICIAL DE MARINA
730,CAPITAN
731,LICENCIADO EN ADMINISTRACION MILITAR
732,RELIGIOSO
733,SACERDOTE
734,PASTOR RELIGIOSO
735,OBISPO ANGLICANO
736,OBISPO CATOLICO
737,SACERDOTE CATOLICO
738,PARROCO
739,PASTOR(A) EVANGELICO(A)
740,PASTOR EXHORTADOR
741,REVERENDO
742,SACERDOTE ANGLICANO
743,PASTOR ADVENTISTA
744,SACERDOTE LUTERANO
745,MISIONERO EVANGELICO
746,LIC.(A) EN ESTUDIOS ECLESIASTICOS
747,DR. EN TEOLOGIA
748,DIACONO
749,PRESBITERO(A)
750,SACERDOTE DIOCESANO
751,OTRO PROFESIONAL
752,ING.(A) EN AERONAUTICA
753,PILOTO AVIADOR
754,AEROTECNICO
755,PILOTO COMERCIAL
756,PILOTO NAVAL
757,TECNICO AERONAUTICO
758,ING. AEROESPACIAL
759,DESPACHADOR DE AERONAVES
760,INSPECTOR AERONAUTICO
761,LIC. INGENIERIA NAUTICA
762,LIC. EN AERONAUTICA PROFESIONAL
763,PILOTO AVIADOR COMERCIAL
764,TRIPULANTE DE CABINA
765,TEC. EJECUTIVO EN ASISTENCIA GERENCIAL.
766,MECANICO DE AVIONES RECIPROCOS
767,BACHILLER
768,BACH. COMERCIAL-CONTADOR
769,BACH. COMERCIAL-SECRETARIA
770,BACH. ACADEMICO
771,BACH. AGRONOMO
772,BACH. INDUSTRIAL
773,BACH. EN MECANICA
774,BACH. EN ELECTRICIDAD
775,BACH. AUTOMOTRIZ
776,BACH. EN HOSTELERIA Y TURISMO
777,BACH. EN SALUD
778,BACH. EN COMPUTACION
779,BACH. EN ARTE
780,BACH. PEDAGOGICO
781,BACH. EN ARQUITECTURA
782,BACH. EN CIENCIAS Y ARTES
783,BACH. AGRICOLA
784,BACHILLER EN COMERCIO Y ADMON.
785,BACH. INDUS ESP. EN MECANICA DE AVIACION
786,BACHILLER EN ORIENTACION DOCENTE
787,BACH. EN ELECTRONICA
788,BACH. GENERAL
789,BACH.TEC.VOC.INDUSTRIAL AERONAUTICO
790,OFICIOS RELAT. AL ARTE Y ARQUITECTURA
791,ARREGLISTA
792,MUSICO
793,FILARMONICO
794,TROBADOR
795,CANTANTE
796,CARTOGRAFICO
797,COREOGRAFO
798,DECORADOR
799,DIBUJANTE
800,DISEÑADOR DE GRAFICOS
801,ESCRITOR(A)
802,ESCULTOR
803,ARTISTA PINTOR
804,POETA
805,ACROBATA
806,ARTISTA
807,ARTISTA DE RADIO Y TV
808,CIRCENSE
809,PAYASO
810,SERIGRAFO
811,CRISTALOGRAFO(A)
812,ALFARERO(A)
813,ALISTADOR
814,APRENDIZ 
815,ARTESANO(A)
816,AYUDANTE
817,BALDOCERO
818,BORDADORA
819,CARROCERO
820,CERAMISTA
821,CURTIDOR DE PIELES
822,EBANISTA
823,ENZUELADOR
824,ZAPATERO(A)
825,TENERO
826,FABRICANTE DE SOMBREROS
827,FLORISTA
828,HERRERO
829,HOJALATERO
830,MARMOLISTA
831,MARROQUINERO(A)
832,OBRA DE BANCO
833,ORFEBRE
834,PIÑATERO
835,PINTOR(A)
836,PIROTECNICO
837,PLATERO
838,TALABARTERO
839,TALLADOR
840,TAPICERO
841,TEJEDOR
842,TELERISTA
843,DECORADOR DE AUTOS
844,MODELO
845,AUTOR
846,COMPOSITOR
847,CONTORCIONISTA
848,BAILARIN(A)
849,CORISTA
850,TITIRITERO
851,GALVANIZADOR
852,DIRECTOR EN ARTE DRAMATICO
853,LIC. EN ARTES VISUALES
854,VOCALISTA
855,CANTAUTOR
856,DEMOLEDOR DE ROCAS
857,TEC. CONSTRUCTOR
858,ENCHAPADOR
859,PIÑATERA
860,DRAMATURGO
861,OFICIOS ECONOMIA/ADMON/COMERCIO
862,ADMINISTRADOR
863,AUXILIAR DE CONTADOR
864,CARDISTA
865,VENDEDOR(A)
866,VENDEDOR AMBULANTE
867,AYUDANTE DE VENDEDOR
868,PROMOTOR DE VENTAS
869,AGENTE DE SEGUROS
870,EJECUTIVO(A) DE VENTAS
871,GESTOR DE VENTAS
872,ASESOR DE VENTAS
873,VENDEDOR PROFESIONAL
874,AGENTE VENDEDOR
875,AGENTE VIAJERO
876,REPRESENTANTE DE VENTAS
877,EJECUTIVO EMPRESARIAL
878,EJECUTIVO HOTELERO
879,EMPRESARIO(A)
880,ESPECIALISTA  COMERC. INTER.
881,PLANILLERO(A)
882,REPRESENTANTE CASAS EXTRANJERAS
883,SECRETARIA(O)
884,SECRETARIA EJECUTIVA
885,SECRETARIA EJECUTIVA BILINGÜE
886,GESTOR DE SERVICIOS
887,PLANIFICADOR
888,TEC. BANCARIO
889,TEC. EN HOSTELERIA Y TURISMO
890,OFICINISTA
891,TEC. OFICINISTA
892,TENEDOR DE LIBROS
893,AUXILIAR DE OFICINA
894,PELUQUERO(A)
895,BARBERO
896,COSMETOLOGA(O)
897,ESTILISTA
898,MANICURISTA
899,MASAJISTA
900,COMERCIANTE
901,COMERCIANTE EN PEQUEÑO
902,NEGOCIANTE
903,MERCERO(A)
904,PRESTAMISTA
905,RECEPCIONISTA
906,MECANOGRAFO(A)
907,TAQUIMECANOGRAFO(A)
908,CAJERO(A)
909,EMPLEADO(A) BANCARIO(A)
910,TALLADOR OPTICO
911,TIPOGRAFO
912,IMPRESOR
913,LINOTIPISTA
914,AUXILIAR DE ALMACEN
915,DEPENDIENTE
916,DEPENDIENTE DE ALMACEN
917,DEPENDIENTE DE FARMACIA
918,IMPULSADOR(A)
919,BODEGUERO
920,AYUDANTE DE BODEGA
921,BARRETERO
922,BARRENDERO
923,BUHONERO
924,CARGADOR DE BATERIAS
925,CARNICERO
926,MATARIFE
927,CERRAJERO
928,COLCHONERO
929,CORTE Y CONFECCION
930,COSTURERO(A)
931,COSTERO
932,SASTRE
933,MODISTA
934,DULCERO(A)
935,EMPACADOR(A)
936,ENCERADOR
937,ENCUADERNADOR
938,ESTAMPADOR
939,GUARDALUZ
940,HARINERO
941,HORNERO
942,HOTELERO
943,BOTONES
944,MESERO(A)
945,RECAMARERA
946,INSTALADOR
947,JARDINERO
948,LAMINADOR
949,LUSTRADOR
950,MENSAJERO
951,MINERO
952,MOLINERO
953,MONTAJISTA
954,OFICIOS VARIOS
955,ORDENANZA 
956,PANADERO(A)
957,PANIFICADOR(A)
958,REPOSTERO(A)
959,PARRILLERO(A)
960,PELETERO
961,PLOMERO
962,PRENSISTA
963,RECORTADOR
964,RELOJERO (A)
965,JOYERO(A)
966,SEPULTURERO
967,SORBETERO
968,PALETERO
969,MINUTERO
970,SUPERNUMERARIO(A)
971,TENDERO(A)
972,TINTORERO(A)
973,TRAMITADOR(A)
974,TRAMOYISTA
975,TROQUELERO
976,TUBERO
977,ADUANERO
978,ARCHIVISTA
979,AYUDANTE DE COBRADOR
980,SUPERVISOR DE VENTAS
981,BARTENDER
982,VIDRIERO
983,COSTURERA INDUSTRIAL
984,SASTRE INDUSTRIAL
985,ESCULTOR INDUSTRIAL
986,OBRERO TEXTIL
987,INSTALADOR DE TECHO
988,INSTALADOR DE AZULEJOS
989,OSTRERO
990,SALONERO
991,DESPACHADOR
992,CASEADOR
993,CARTERO
994,PRENSISTA DE TIPOGRAFIA
995,CHALAN
996,CASETERO
997,ECONOMISTA AGRICOLA
998,BRUCERO
999,AGENTE DE VIAJES
1000,TEC. EN SEGUROS
1001,SECRETARIO(A) MUNICIPAL
1002,MICROEMPRESARIO
1003,AGENTE PREVISIONAL
1004,INSTALADOR DE ALARMAS
1005,ASISTENTE ADMINISTRATIVO
1006,SECRETARIA COMERCIAL
1007,PASTELERO(A)
1008,TEC. EN COMERCIALIZACION
1009,LIC. EN COMERCIALIZACION
1010,ASESOR DE MERCADEO
1011,JOYERO Y RELOJERO
1012,TEC. EN ADMINISTRACION DE PERSONAL
1013,INDUSTRIAL SALINERO
1014,CORREDOR(A) DE SEGUROS
1015,TEC. EN PANIFICACION
1016,TEC. EN HOSTELERIA
1017,SECRETARIA EN COMPUTACION
1018,CAMARERO (A)
1019,TEC EN SECRETARIADO SUPERIOR ADTIVO.
1020,ADMINISTRACION DE PERSONAL
1021,SECRETARIA MERCANTIL
1022,AGENTE ADUANAL
1023,TEC. EN TURISMO
1024,CORREDOR DE BOLSA
1025,JARDINERO INJERTADOR
1026,DISEÑADOR(A) DE MODA
1027,INTERMEDIARIO DE SEGUROS
1028,SECRETARIA BILINGÜE
1029,LIC. EN DISEÑO DE TEXTILES
1030,SECRETARIA EJECUTIVA EN LEYES
1031,ING.(A) COMERCIAL
1032,SALINERO
1033,MASTER EN FINANZAS EMPRESARIALES
1034,TEC. ADMINISTRACION TURISTICA
1035,TEC. EN GUIA TURISTICO
1036,SECRETARIA GERENCIAL EN INFORMATICA
1037,OFICIOS RELAT. A SALUD
1038,QUINESIOLOGO
1039,ACUPUNTURISTA
1040,ENFERMERO(A)
1041,ENFERMERO(A) AUXILIAR
1042,AYUDANTE DE ENFERMERIA
1043,ESPECIALISTA EN RADIOLOGIA
1044,TEC. DENTAL
1045,MECANICO DENTAL
1046,HIGIENISTA DENTAL
1047,ASISTENTE DENTAL
1048,QUIROPRACTICO
1049,MASAJISTA
1050,APRENDIZ EN MECANICA DENTAL
1051,TEC. EN OPTICA
1052,TECNOLOGO ORTOPEDA
1053,TERAPISTA DE LENGUA
1054,TERAPISTA OCUPACIONAL
1055,DELEGADO DE SALUD
1056,INSPECTOR SANITARIO
1057,PARTERA AUTORIZADA
1058,VACUNADOR
1059,VISITADOR MEDICO
1060,NATUROPATA
1061,FARMACEUTICO
1062,IDONEO EN FARMACIA
1063,TEC. EN LABORATORIO
1064,AUXILIAR DE LABORATORIO
1065,PROMOTOR(A) SOCIAL
1066,PROMOTOR(A) DE SALUD
1067,TRABAJADOR(A) SOCIAL
1068,EDUCADORA SOCIAL
1069,TRAMITADOR(A) SOCIAL
1070,EDUCADOR EN SALUD
1071,PARAMEDICO
1072,INSPECTOR VETERINARIO
1073,ENFERMERA(O) GRADUADA(O)
1074,EDUCADOR(A) AMBIENTAL
1075,TEC. OPTICO
1076,TERAPISTA RESPIRATORIO
1077,TEC. HISIOTERAPISTA
1078,TECNOLOGO EN TERAPIA DE LENGUAJE
1079,MEDICO PEDIATRA
1080,DOCTOR EN NATUROPATIA
1081,INSPECTOR DE OPERACIONES MEDICAS
1082,AUXILIAR DE ENFERMERIA
1083,TEC. EN FARMACIA
1084,TEC.EN SALUD Y SANEAMIENTO AMBIENTAL
1085,EDUCADOR (A)
1086,AYUDANTE EN SALUD
1087,HOMEOPATA
1088,TECNICA DE HERBARIO
1089,DR. (A) EN QUIROPRACTICA
1090,OFICIOS AGRIC/GANAD/PISCICULT/MEDIO AMB.
1091,AGRICULTOR (A)
1092,AGRICULTOR (A) EN PEQUEÑO
1093,EMPLEADO AGRICOLA
1094,SEMBRADOR
1095,APICULTOR
1096,AVICULTOR(A)
1097,CAFICULTOR(A)
1098,COOPERATIVISTA
1099,CUNICULICULTOR
1100,GANADERO (A)
1101,GRANJERO
1102,PERICULTOR
1103,PERITO CAFICULTOR
1104,PISCICULTOR
1105,TEC. EN CONTROL DE PLAGAS
1106,CABALLERANGO
1107,CAMPISTA
1108,CAPORAL
1109,MANDADOR
1110,PEON AGRICOLA
1111,CORRALERO
1112,CORTADOR
1113,ESCRIBIENTE
1114,HENERO
1115,INSEMINADOR
1116,JORNALERO
1117,LABRADOR
1118,MAQUINARIO AGRICOLA
1119,MONTANERO
1120,TRACTORISTA
1121,PATRON DE BARCO PESQUERO
1122,TEC. PESQUERO
1123,MARINO MERCANTE
1124,MARINERO
1125,PESCADOR(A)
1126,FLORICULTOR
1127,CAÑICULTOR
1128,COLOIADOR
1129,FUMIGADOR
1130,MECANICO AGRICOLA
1131,RASTRILLADOR
1132,TRAPICHERO
1133,TRABAJADOR(A) AGRICOLA
1134,GUARDABOSQUES
1135,MARINO ELECTRICISTA
1136,INSPECTOR TEC. EN SANEAMIENTO AMBIENTAL
1137,PERITO AGRICOLA
1138,LIC. EN AGROINDUSTRIA
1139,INGENIERO AGRICOLA
1140,ING.(A) AVICOLA
1141,PESCADOR(A) ARTESANAL
1142,ACUICULTOR
1143,BUZO COMERCIAL
1144,MARINERO DE BARCO PESQUERO
1145,MARINO DE BARCO
1146,ING. EN MAQUINARIA AGRICOLA
1147,LARVICULTOR
1148,MAQUINISTA DE EMBARCACION PESQUERA
1149,OFICIOS RELAT. A DERECHO
1150,OFICIAL PUBLICO DE JUEZ EJECUTOR
1151,NOTIFICADOR
1152,COLABORADOR JURIDICO
1153,EJECUTOR DE EMBARGO
1154,ASESOR JURIDICO
1155,CONTRATISTA NOTARIAL
1156,JUEZ (A)
1157,OFICIOS RELAT. A TECNOLOGIA
1158,DISEÑADOR(A) DE TRAZOS
1159,TOPOGRAFO EMPIRICO
1160,CADENERO
1161,CONSTRUCTOR EMPIRICO
1162,CONTRATISTA
1163,DIBUJANTE ARQUITECTONICO
1164,DIBUJANTE DE INGENIERIA
1165,DISEÑADOR(A)
1166,IMPRESOR LITOGRAFICO
1167,LITOGRAFO(A)
1168,MAESTRO DE OBRA
1169,OBRERO(A)
1170,ALBAÑIL
1171,AYUDANTE DE ALBAÑIL
1172,PERFORISTA
1173,PEON DE CONSTRUCCION
1174,MOTONIVELADOR
1175,OPERADOR DE EQUIPO PESADO
1176,LADRILLERO
1177,ENCIELADOR
1178,FONTANERO
1179,PLOMERO
1180,APRENDIZ DE OFICIO
1181,AYUDANTE DE OFICIO
1182,ASERRADOR
1183,BARNIZADOR
1184,CARPINTERO
1185,AYUDANTE DE MAQUINARIA PESADA
1186,ENDEREZADOR Y PINTOR
1187,ENGRASADOR
1188,ENSAMBLADOR
1189,MECANICO DE BANCO
1190,MECANICA FINA
1191,MECANICO
1192,MECANICO AUTOMOTRIZ
1193,MECANICO INDUSTRIAL
1194,MECANICO DE AVIACION
1195,MECANICO DE MOLINOS
1196,MECANICO TEXTIL
1197,MECANICO ENDEREZADOR
1198,MECANICO SOLDADOR
1199,MECANICO TORNERO
1200,PINTOR AUTOMOTRIZ
1201,SOLDADOR
1202,SOLDADOR AUTOMOTRIZ
1203,APRENDIZ DE MECANICA
1204,AYUDANTE DE ENDEREZADO Y PINTURA
1205,AYUDANTE DE MECANICO
1206,ENDEREZADOR
1207,REPARADOR DE BATERIAS
1208,REPARADOR DE LLANTAS
1209,ELECTRICISTA
1210,ELECTROMECANICO
1211,ELECTRONICO AUTOMOTRIZ
1212,EMBOBINADOR
1213,LINIERO MONTADOR
1214,MECANICO EN ELECTRICIDAD
1215,MECANICO EN ELECTRONICA
1216,RADIOTECNICO
1217,SOLDADOR ELECTRONICO
1218,TEC. EN AIRE ACONDICIONADO
1219,TEC. EN REFRIGERACION
1220,APRENDIZ DE ELECTRICISTA
1221,AYUDANTE DE ELECTRICISTA
1222,PROGRAMADOR DE COMPUTADORAS
1223,OPERADOR DE COMPUTADORAS
1224,INSTRUCTOR DE COMPUTACION
1225,CONSULTOR DE INFORMATICA
1226,ASESOR EN INFORMATICA
1227,DIGITADOR(A)
1228,EMPRESARIO INDUSTRIAL
1229,ARMERO
1230,CALDERERO
1231,FUNDIDOR
1232,OBRERO INDUSTRIAL
1233,OPERARIO(A)
1234,OPERARIO(A) INDUSTRIAL
1235,PINTOR INDUSTRIAL
1236,TEC. EN ALUMINIO
1237,TEC. EN ARMAS
1238,TEC. EN POLARIZADO
1239,TEC. EN SISTEMA DE CABLE
1240,AUXILIAR DE DIGITADOR
1241,AUXILIAR DE OPERADOR
1242,AYUDANTE DE OBRA DE BANCO
1243,QUIMICO INDUSTRIAL
1244,APRENDIZ DE CONSTRUCTOR
1245,LABORATORISTA EN DIESEL
1246,PULIDOR DE PISO
1247,ARMADOR
1248,TEJERO
1249,TORNERO DE MADERA
1250,MECANICO NAVAL
1251,TRAILERO
1252,TORNERO
1253,MECANICO MONTADOR
1254,ELECTRICISTA INDUSTRIAL
1255,VULCANIZADOR
1256,FREZADOR
1257,ASESOR TECNICO
1258,TEC. EN MANTTO. DE COMPUTADORAS
1259,TECNOLOGO(A) EN RADIOTECNOLOGIA
1260,ELECTRICISTA AUTOMOTRIZ
1261,ING. MECANICO ELECTRICISTA
1262,LAB. DE SUELOS
1263,CARPINTERO SIN TALLER
1264,CONSTRUCTOR
1265,QUIMICO
1266,ING. QUIMICO INDUSTRIAL
1267,MECANICO EN REFRIGERACION
1268,TECNICO EN QUIMICOS
1269,TEC. EN BOBINADO
1270,ENTOMOLOGO
1271,LIC. EN ASISTENCIA CIRCULATORIA
1272,TEC. EN SOLDURA ELECTRICO
1273,TECNICO MECANICO
1274,OPERADOR(A) EN SISTEMAS
1275,SOLDADOR ELECTRICO
1276,TEC. EN TELEFONIA
1277,CARPINTERO TALLADOR
1278,TEC. AVANZADA EN ING. DE CONFECCION IND.
1279,INGENIERO EN CONFECCION
1280,TEC. EN REFRIGERACION INDUSTRIAL
1281,LINIERO ELECTRICISTA
1282,DIBUJANTE DE INGENIERIA Y ARQUITECTURA
1283,TELEFONISTA
1284,OPERADOR DE MAQUINAS
1285,ANALISTA DE SISTEMAS
1286,RADIODIFUSOR
1287,VITRALISTA
1288,MECANICO EN ENDEREZADO Y PINTURA
1289,AYUDANTE DE CARPINTERIA
1290,OFICIOS RELAT. A EDUC.
1291,BIBLIOTECARIO(A)
1292,PROF.(A)
1293,INSTRUCTOR(A)
1294,ESTUDIANTE
1295,INSTRUCTOR DE OFICIOS
1296,PROF.(A) DE ARTES MARCIALES
1297,PROF.(A) DE AEROBICOS
1298,INSTRUCTOR DE MANEJO
1299,TEC. EN ACUACULTURA
1300,TEC. EN EDUCACION
1301,INSTRUCTOR(A) EN KARATE
1302,INSTRUCTOR DE NATACION
1303,LIC. EN LINGÜISTICA
1304,MATEMATICO
1305,LIC.EN CIENC EDUC ESP EDU FIS DEP Y REC.
1306,OFICIOS RELAT. A CIENCIAS SOCIALES
1307,DIPLOMATICO (A)
1308,POLITICO
1309,EMBAJADOR(A)
1310,FUNCIONARIO PUBLICO
1311,DIPLOMATICO DE CARRERA
1312,CONSUL GENERAL
1313,PROCURADOR GRAL. DE LA REPUBLICA
1314,LIC. EN DIPLOMACIA
1315,OFICIOS RELAT. A LA RELIGION
1316,CLERIGO LITERARIO
1317,MINISTRO EVANGELICO
1318,MISIONERO(A)
1319,MONJA
1320,SACRISTAN
1321,PRECURSOR RELIGIOSO
1322,RELIGIOSO(A)
1323,PREDICADOR
1324,EVANGELIZADOR
1325,SEMINARISTA
1326,HERMANA RELIGIOSA
1327,CATEQUISTA
1328,MINISTRO RELIGIOSO
1329,MINISTRO CRISTIANO
1330,LIC. EN SIST. INFORMATICOS ADMINIS
1331,OFICIOS MILITARES O DE SEGURIDAD
1332,POLICIA MILITAR
1333,POLICIA NACIONAL CIVIL
1334,SOLDADO
1335,POLICIA DE ADUANA
1336,AGENTE DE SEGURIDAD PRIVADA
1337,BOMBERO
1338,GUARDAESPALDA
1339,POLICIA MUNICIPAL
1340,SALVAVIDAS
1341,SERENO
1342,VIGILANTE
1343,MILITAR RETIRADO
1344,AGENTE DE SEGURIDAD PUBLICA
1345,DETECTIVE
1346,AGENTE PENITENCIARIO
1347,AGENTE METROPOLITANO
1348,POLICIA BANCARIO
1349,CUSTODIO
1350,GUARDAVIDAS
1351,COMISIONADO
1352,LIC (A) EN ADMON PUBLICA POLICIAL
1353,OTROS OFICIOS
1354,CHEF
1355,COCINERO(A)
1356,AMA DE CASA
1357,LAVANDERO(A)
1358,NIÑERA
1359,DOMESTICA
1360,AEROMOZA
1361,SOBRECARGO
1362,DELEGADO DE TRANSPORTE
1363,TRANSPORTISTA
1364,COBRADOR
1365,CAMIONERO
1366,CARRETONERO
1367,ESTIVADOR
1368,FERROCARRILERO
1369,FOGONERO
1370,MAQUINISTA
1371,MOTOCICLISTA
1372,MOTORISTA
1373,TAXISTA
1374,ENTRENADOR(A)
1375,ARBITRO
1376,ATLETA
1377,BASQUETBOLISTA
1378,FUTBOLISTA
1379,BEISBOLISTA
1380,SOFTBOLISTA
1381,MOTOCICLISTA DEPORTIVO
1382,DEPORTISTA
1383,ANIMADOR(A)
1384,PRESENTADOR(A) DE NOTICIAS
1385,LOCUTOR(A)
1386,OPERADOR(A) DE RADIO
1387,CRONISTA DEPORTIVO
1388,REPORTERO(A)
1389,CAMAROGRAFO
1390,AYUDANTE DE CAMAROGRAFO
1391,ESCENOGRAFO
1392,OPERADOR DE CAMARA
1393,OPERADOR DE MAQUINA DE CINE
1394,REALIZADOR DE PROGRAMAS
1395,CARICATURISTA
1396,DIBUJANTE COMERCIAL
1397,ROTULISTA
1398,PINTOR ROTULISTA
1399,EDITOR(A)
1400,PERIODISTA
1401,PUBLICISTA
1402,FOTOGRAFO(A)
1403,TEC. EN FOTOCOMPOSICION
1404,TEC. FOTOMECANICO
1405,TEC. EN MICROFILM
1406,TEC. EN SONIDO
1407,VOCERO
1408,RADIOTELEGRAFISTA
1409,PENSIONADO O JUBILADO
1410,TELEGRAFISTA
1411,EMPLEADO(A)
1412,EMPLEADO(A) PUBLICO(A)
1413,MECAPALERO(A)
1414,EMPLEADO DE ASEO
1415,COMUNICADOR SOCIAL
1416,AUXILIAR DE SERVICIO
1417,GASOLINERO
1418,DISEÑADOR COMERCIAL
1419,COBRADOR DE BUSES
1420,SOCORRISTA
1421,DIRECTOR DE CAMARA
1422,MICROSCOPISTA
1423,VOCEADOR
1424,FOTOLITOGRAFO
1425,EMPLEADO COMERCIAL
1426,EMPLEADO INDUSTRIAL
1427,PERITO
1428,PRODUCTOR DE TEATRO
1429,PRODUCTOR DE TV
1430,REDACTOR
1431,TALADOR
1432,CONSERJE
1433,LUCHADOR
1434,MOZO
1435,DISEÑADOR DE TATUAJES
1436,CATADOR
1437,ACTUARIO
1438,JEFE DE PERSONAL
1439,MAYORDOMO
1440,POLIGRAFISTA
1441,SUPERVISOR
1442,OPERARIA
1443,DOMESTICOS
1444,TORTILLERA
1445,ANALISTA
1446,ING.(A) ELECTROMECÁNICO
1447,PRODUCTOR CINEMATOGRAFICO
1448,INTERPRETE/TRADUCTOR
1449,INSPECTOR DE CALIDAD
1450,ENFIBRADOR
1451,AUXILIAR DE INGENIERIA
1452,INSPECTOR EN OBRAS CIVILES
1453,TEC. EN PREP. Y SERVIC. DE ALIMENTOS
1454,COORDINADOR DE TALLERES
1455,PULIDOR DE MUEBLES
1456,PEDICURISTA
1457,FOTOPERIODISTA
1458,CONTROL DE CALIDAD
1459,TENOR
1460,PIANISTA
1461,LIC. EN HOTELERIA Y TURISMO
1462,IMPORTADOR
1463,TECNICO EN AVIACION
1464,CONTROL DE TRANSITO AEREO
1465,AUXILIAR DE CONSTRUCCION
1466,OPERARIO DE MAQUINAS TERMOFORMADORAS
1467,GUILLOTINISTA
1468,TECNICO EMBALSAMADOR
1469,TEC. EN ESTRUCTURAS METALICAS
1470,ASESOR
1471,TEC. EN SOLAIRES
1472,CORRESPONSAL DE DEPORTE
